date,cache_read_tokens,cache_creation_tokens,input_tokens,output_tokens,total_input_tokens,cache_hit_rate,requests
2026-03-17,1959120,197790,55,21136,2156965,90.8,45
2026-03-18,1615519,294470,42,24301,1910031,84.6,28
2026-03-19,204678862,2524125,31055,570468,207234042,98.8,712
2026-03-20,231581758,1721177,5165,258035,233308100,99.3,365
2026-03-21,10460322,1597595,21,7658,12057938,86.8,15
2026-03-22,96216571,6420200,404,328182,102637175,93.7,187
2026-03-23,55883379,2434101,272,186331,58317752,95.8,198
2026-03-24,1210778,590544,10,3980,1801332,67.2,6
2026-03-25,36539558,873159,5975,129021,37418692,97.7,138
2026-03-26,29189118,469826,1316,139186,29660260,98.4,201
2026-03-27,2562001,193287,944,53675,2756232,93.0,62
2026-03-28,23495227,344545,815,153161,23840587,98.6,246
2026-03-30,36815710,1031363,5649,148641,37852722,97.3,246
2026-03-31,138315520,3240969,2697,410576,141559186,97.7,569
2026-04-01,199260894,2641727,633,284790,201903254,98.7,309
2026-04-02,601432591,4206605,1654,715892,605640850,99.3,1382
2026-04-03,114116211,2432341,2932,411815,116551484,97.9,462
2026-04-06,14372509,708763,8239,23556,15089511,95.2,63
2026-04-07,159684909,3761234,8201,494710,163454344,97.7,572
2026-04-08,635399828,8811152,1440,1032213,644212420,98.6,1115
2026-04-09,461160743,3323137,1185,663434,464485065,99.3,851
2026-04-10,414453357,11560671,9792,690456,426023820,97.3,1199
2026-04-11,38888861,1327478,91,54141,40216430,96.7,61
2026-04-12,386106164,16146433,70405,4328937,402323002,96.0,2020
2026-04-13,162270342,4345103,13472,366193,166628917,97.4,470
2026-04-14,10938839,714381,283,150493,11653503,93.9,123
2026-04-15,737621048,11804711,70501,5056935,749496260,98.4,2052
2026-04-16,1100110748,11260532,110922,3354395,1111482202,99.0,2472
2026-04-17,1422078199,7176616,80380,2263740,1429335195,99.5,4294
