date,model,requests,output_tokens,cache_read
2026-03-17,claude-opus-4-6,45,21136,1959120
2026-03-18,claude-opus-4-6,28,24301,1615519
2026-03-19,claude-opus-4-6,712,570468,204678862
2026-03-20,claude-opus-4-6,365,258035,231581758
2026-03-21,claude-opus-4-6,15,7658,10460322
2026-03-22,claude-opus-4-6,187,328182,96216571
2026-03-23,claude-opus-4-6,198,186331,55883379
2026-03-24,claude-opus-4-6,6,3980,1210778
2026-03-25,claude-opus-4-6,138,129021,36539558
2026-03-26,claude-opus-4-6,201,139186,29189118
2026-03-27,claude-opus-4-6,33,12358,1217867
2026-03-27,claude-sonnet-4-6,29,41317,1344134
2026-03-28,claude-opus-4-6,246,153161,23495227
2026-03-30,claude-opus-4-6,246,148641,36815710
2026-03-31,claude-opus-4-6,555,404377,137612813
2026-03-31,claude-sonnet-4-6,14,6199,702707
2026-04-01,claude-opus-4-6,309,284790,199260894
2026-04-02,claude-opus-4-6,1382,715892,601432591
2026-04-03,claude-opus-4-6,462,411815,114116211
2026-04-06,claude-opus-4-6,63,23556,14372509
2026-04-07,claude-opus-4-6,572,494710,159684909
2026-04-08,claude-opus-4-6,1115,1032213,635399828
2026-04-09,claude-opus-4-6,851,663434,461160743
2026-04-10,claude-opus-4-6,1199,690456,414453357
2026-04-11,claude-opus-4-6,61,54141,38888861
2026-04-12,claude-opus-4-6,2020,4328937,386106164
2026-04-13,claude-opus-4-6,470,366193,162270342
2026-04-14,claude-opus-4-6,123,150493,10938839
2026-04-15,claude-opus-4-6,2052,5056935,737621048
2026-04-16,claude-opus-4-6,2472,3354395,1100110748
2026-04-17,claude-opus-4-6,4294,2263740,1422078199
