commit_hash,commit_timestamp,commit_subject,commit_author,repo,session_id,session_project,additions,deletions,files_changed
e68233cd5d05,2026-03-30T14:21:40-04:00,fix(ci): harden codex hook regression test (#1028),Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
656cf4c94a3f,2026-03-30T04:58:48-04:00,Merge pull request #833 from shreyas-lyzr/feat/gitagent-format,Affaan Mustafa,TREE_OF_THOUGHT,28c666e9-039b-4de6-b3e4-f5fbc0df9862,TREE,0,0,0
0220202a61f3,2026-03-30T04:52:29-04:00,Merge pull request #831 from dani-mezei/fix/clv2-subdirectory-project-detection,Affaan Mustafa,TREE_OF_THOUGHT,28c666e9-039b-4de6-b3e4-f5fbc0df9862,TREE,0,0,0
5a2c9f555831,2026-03-30T04:50:27-04:00,Merge pull request #850 from eamanc-lab/feat/add-openclaw-persona-forge-v2,Affaan Mustafa,TREE_OF_THOUGHT,28c666e9-039b-4de6-b3e4-f5fbc0df9862,TREE,0,0,0
7ff2f0748e54,2026-03-30T04:49:55-04:00,feat: add gitagent format for cross-harness portability,Affaan Mustafa,TREE_OF_THOUGHT,28c666e9-039b-4de6-b3e4-f5fbc0df9862,TREE,209,0,3
3f6a14acde43,2026-03-30T04:46:31-04:00,fix(clv2): resolve cwd to git root before project detection,Affaan Mustafa,TREE_OF_THOUGHT,28c666e9-039b-4de6-b3e4-f5fbc0df9862,TREE,248,2,2
d6c7f8fb0afd,2026-03-30T04:41:47-04:00,fix(skills): harden openclaw persona forge,Affaan Mustafa,TREE_OF_THOUGHT,28c666e9-039b-4de6-b3e4-f5fbc0df9862,TREE,168,56,6
7253d0ca98d4,2026-03-30T04:31:09-04:00,test: isolate codex hook sync env (#1023),Affaan Mustafa,TREE_OF_THOUGHT,28c666e9-039b-4de6-b3e4-f5fbc0df9862,TREE,17,2,1
118e57e14bdc,2026-03-30T15:14:49+08:00,feat(hooks): add WSL desktop notification support via PowerShell + BurntToast (#1019),QWsin,TREE_OF_THOUGHT,28c666e9-039b-4de6-b3e4-f5fbc0df9862,TREE,85,11,2
a4d4b1d756f0,2026-03-29T23:10:10-07:00,fix: resolve MINGW64 double-path conversion in install.sh (#1015),Michael,TREE_OF_THOUGHT,28c666e9-039b-4de6-b3e4-f5fbc0df9862,TREE,10,1,1
c90566f9be5a,2026-03-30T02:09:43-04:00,fix: harden codex sync CI hermeticity (#1020),Affaan Mustafa,TREE_OF_THOUGHT,28c666e9-039b-4de6-b3e4-f5fbc0df9862,TREE,15,3,1
b9a01d3c3240,2026-03-30T02:01:56-04:00,fix: audit consumer projects from cwd (#1014),Affaan Mustafa,TREE_OF_THOUGHT,28c666e9-039b-4de6-b3e4-f5fbc0df9862,TREE,323,53,4
fab80c99b774,2026-03-30T02:01:54-04:00,fix: harden Trae install ownership (#1013),Affaan Mustafa,TREE_OF_THOUGHT,28c666e9-039b-4de6-b3e4-f5fbc0df9862,TREE,296,39,5
8846210ca2ce,2026-03-30T01:50:17-04:00,fix: unblock unicode safety CI lint (#1017),Affaan Mustafa,TREE_OF_THOUGHT,28c666e9-039b-4de6-b3e4-f5fbc0df9862,TREE,66,22,4
cff28efb3427,2026-03-29T21:41:02-04:00,Merge pull request #854 from singularityjason/feat/add-omega-memory-mcp,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
b575f2e3ebc6,2026-03-29T21:39:55-04:00,fix: align omega-memory config description,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
0f065af311af,2026-03-24T13:42:41+08:00,feat: add omega-memory MCP server to mcp-configs,Jason Sosa,TREE_OF_THOUGHT,0091baab-1691-4945-94d1-02a2ab7691fa,FEM,5,0,1
ded5d826a462,2026-03-29T21:30:27-04:00,Merge pull request #1011 from affaan-m/fix/stop-hook-and-mcp-schema,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
ae272da28dec,2026-03-29T21:27:46-04:00,Merge pull request #1002 from affaan-m/fix/unicode-safety-hardening,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
c39aa22c5a70,2026-03-29T21:26:56-04:00,fix: harden lifecycle hook launchers and mcp schema,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
7483d646e4b9,2026-03-29T09:06:44-04:00,fix: narrow unicode cleanup scope,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
432a45274ec4,2026-03-29T08:59:25-04:00,chore: revert lockfile churn,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
866d9ebb5364,2026-03-29T08:59:06-04:00,fix: harden unicode safety checks,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
dd675d4258cb,2026-03-29T21:16:09-04:00,Merge pull request #1007 from AndriyKalashnykov/chore/pin-actions-and-update-claude-md,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
db12d3d83886,2026-03-29T21:16:01-04:00,Merge pull request #1004 from ohashi-mizuki/fix/pre-push-skip-branch-deletion,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
46f37ae4fbd7,2026-03-29T17:16:56-04:00,chore: pin actions to commit SHAs and add Skills section to CLAUDE.md,Andriy Kalashnykov,TREE_OF_THOUGHT,,,0,0,0
0c166e14da27,2026-03-29T23:09:26+09:00,fix: skip pre-push checks on branch deletion,ohashi-mizuki,TREE_OF_THOUGHT,,,0,0,0
527c79350c21,2026-03-29T00:26:32-04:00,Merge pull request #1000 from affaan-m/fix/codex-context7-compat-tests,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
0ebcfc368e19,2026-03-29T00:26:16-04:00,fix(codex): broaden context7 config checks,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
bec1ebf76ddd,2026-03-29T00:22:23-04:00,Merge pull request #999 from affaan-m/fix/clv2-config-override-rebase,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
be76918850e4,2026-03-29T00:21:55-04:00,fix(clv2): honor CLV2_CONFIG in start-observer,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
99a154a908e3,2026-03-29T00:20:29-04:00,Merge pull request #998 from affaan-m/fix/token-budget-advisor-trigger-clarity,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
ebf0f135bba6,2026-03-29T00:20:04-04:00,fix(skills): clarify token-budget-advisor triggers,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
2d27da52e28f,2026-03-29T00:20:01-04:00,Merge pull request #997 from affaan-m/fix/readme-agent-count-tree,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
65c4a0f6ba2a,2026-03-29T00:19:52-04:00,docs(readme): fix agent count in repo tree,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
ab49c9adf5ad,2026-03-29T00:16:21-04:00,Merge pull request #920 from Xabilimon1/main,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
b7a82cf240c8,2026-03-29T00:15:54-04:00,Merge origin/main into Xabilimon1/main,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
9a55fd069bba,2026-03-29T00:14:17-04:00,fix(skills): harden token budget advisor skill,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
d9e8305aa1d1,2026-03-29T00:14:00-04:00,Merge pull request #992 from Lidang-Jiang/fix/doc-file-warning-denylist,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
f2bf72c00514,2026-03-29T00:13:48-04:00,Merge branch 'main' into fix/doc-file-warning-denylist,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
3ae0df781f46,2026-03-29T00:08:03-04:00,Merge pull request #893 from up2itnow0822/feat/agent-payment-x402-skill,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
a346a304b0d6,2026-03-29T00:07:28-04:00,Merge pull request #926 from xingzihai/feature/pre-commit-quality-hook,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
81acf0c92874,2026-03-29T00:07:18-04:00,fix(hooks): make pre-commit quality checks enforce staged state,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
06a77911e672,2026-03-29T00:04:54-04:00,Merge pull request #993 from affaan-m/fix/healthcare-eval-harness-followup,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
9406f35fab84,2026-03-29T00:04:36-04:00,fix(docs): repair healthcare eval harness examples,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
c5e3658ba603,2026-03-28T23:25:30-04:00,Merge pull request #955 from drkeyurpatel-wq/feat/healthcare-patterns,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
eeeea506a6b8,2026-03-28T23:24:10-04:00,Merge pull request #959 from sreedhargs89/feat/skill-context-keeper,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
fc1ea4fbeae7,2026-03-28T23:24:03-04:00,Merge pull request #818 from 694344851/docs/zh-cn-prune-command,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
00787d68e466,2026-03-28T23:23:54-04:00,fix(ck): preserve display names and harden git helpers,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
1e3572becff4,2026-03-28T23:23:51-04:00,fix(docs): correct zh-CN prune frontmatter,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
74621683773d,2026-03-29T10:14:53+08:00,fix(lint): prefix unused options parameter with underscore,Lidang-Jiang,TREE_OF_THOUGHT,,,0,0,0
3c3781ca4385,2026-03-29T10:09:02+08:00,refactor: address reviewer feedback,Lidang-Jiang,TREE_OF_THOUGHT,,,0,0,0
27d71c954840,2026-03-29T09:54:23+08:00,fix(hooks): port doc-file-warning denylist policy to current hook runtime,Lidang-Jiang,TREE_OF_THOUGHT,,,0,0,0
6f16e75f9da1,2026-03-28T20:46:08-04:00,Merge pull request #985 from likzn/feature/trae-integration,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
0d30da1fc701,2026-03-28T20:45:51-04:00,Merge branch 'main' into feature/trae-integration,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
e686bcbc8201,2026-03-28T20:45:37-04:00,fix(trae): harden install and uninstall flow,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
25c8a5de08ef,2026-03-28T20:44:28-04:00,Merge pull request #991 from affaan-m/affaan/laravel-plugin-discovery-refresh,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
ec104c94c5e1,2026-03-28T20:43:26-04:00,fix(skills): wire laravel plugin discovery into installs,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
14a51404c0a5,2026-03-28T20:41:45-04:00,fix(skills): align laravel plugin discovery docs,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
666c63920649,2026-03-25T22:36:45+01:00,feat(skills): add laravel-plugin-discovery skill with LaraPlugins MCP,Daniel Petrica,TREE_OF_THOUGHT,,,0,0,0
a8e088a54e50,2026-03-28T20:41:59-04:00,Merge pull request #923 from danielpetrica/main,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
eac0228f8810,2026-03-28T20:41:45-04:00,fix(skills): align laravel plugin discovery docs,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
b6e3434ff499,2026-03-28T20:36:59-04:00,Merge pull request #858 from sliver2er/fix/install-missing-ajv-dependency,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
4eaee83448b7,2026-03-28T20:36:43-04:00,fix(install): stop after npm bootstrap failures on powershell,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
1e43639cc71b,2026-03-28T20:36:11-04:00,Merge pull request #855 from Yumerain/fix/zh-cn-doc-format,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
766f84647884,2026-03-28T20:35:44-04:00,Merge pull request #897 from techiro/docs/ja-JP-translate-plain-text-blocks,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
dd38518afef7,2026-03-28T20:35:25-04:00,fix(docs): restore canonical runtime strings in ja-JP docs,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
c1d98b071e16,2026-03-28T20:32:12-04:00,Merge pull request #892 from chris-yyau/fix/remove-redundant-skill-sync,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
70b98f31784b,2026-03-28T20:30:16-04:00,Merge pull request #911 from haibindev/main,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
dcc4d914d222,2026-03-28T20:29:51-04:00,fix(skills): tighten repo-scan install flow,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
71219ff65600,2026-03-28T20:24:01-04:00,Merge pull request #929 from xingzihai/feat/skill-development-guide,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
e815f0d05c0b,2026-03-28T20:23:34-04:00,fix(docs): resolve skill guide review issues,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
b3a43f34e62d,2026-03-28T20:22:07-04:00,Merge pull request #896 from ToniDonDoni/codex/tdd-workflow-red-green-guards,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
0d26f5295d4f,2026-03-28T20:21:28-04:00,Merge pull request #990 from affaan-m/fix/yarn-lock-sync,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
9181382065df,2026-03-28T20:20:54-04:00,fix(ci): sync yarn lockfile,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
9434e077495b,2026-03-28T20:16:26-04:00,Merge pull request #989 from affaan-m/fix/ecc2-analysis-report-facts,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
9cde3427e256,2026-03-28T20:15:46-04:00,fix(docs): correct ecc2 analysis report facts,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
c6b4c719b2ba,2026-03-28T20:11:46-04:00,Merge pull request #952 from anuragg-saxenaa/pr-950,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
f98207feea4c,2026-03-28T20:09:57-04:00,Merge pull request #960 from senoldogann/feat/codex-plugin-manifest,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
52e9bd58f12b,2026-03-28T20:09:14-04:00,fix(codex): tighten manifest docs and test guards,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
4257c093ca23,2026-03-28T20:06:42-04:00,fix(codex): point marketplace plugin path at repo root,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
23d743b92c8a,2026-03-28T14:46:43+02:00,fix(skills): add missing YAML frontmatter to 7 skills,senoldogann,TREE_OF_THOUGHT,,,0,0,0
414ea90e11a2,2026-03-27T18:28:18+02:00,fix(codex): correct marketplace.json plugin source path,senoldogann,TREE_OF_THOUGHT,,,0,0,0
d473cf87e61e,2026-03-27T09:26:50+02:00,feat(codex): add Codex native plugin manifest and fix Claude plugin.json,senoldogann,TREE_OF_THOUGHT,,,0,0,0
64847d0a21e3,2026-03-28T20:04:53-04:00,Merge pull request #986 from Infiniteyieldai/claude/evaluate-repo-comparison-ASZ9Y,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
c865d4c6767f,2026-03-28T20:03:10-04:00,docs: fix ECC setup reference drift,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
