session_id,project,entrypoint,git_branch,version,cwd,first_timestamp,last_timestamp
0091baab-1691-4945-94d1-02a2ab7691fa,FEM,claude-vscode,HEAD,2.1.78,f:\FEM\OPTUM,2026-03-19T01:24:35.527Z,2026-03-25T09:15:00.565Z
112b6919-d52d-4bb4-82e1-121ead726a08,FEM,claude-vscode,HEAD,2.1.78,f:\FEM\OPTUM,2026-03-26T01:37:05.141Z,2026-03-26T10:03:26.008Z
1de5d7d6-2673-45b1-a859-dd810408390b,FEM,claude-vscode,HEAD,2.1.78,f:\FEM\OPTUM,2026-03-25T08:01:04.860Z,2026-03-25T08:42:45.644Z
3af0bd3c-a766-40d2-9725-6e6b7534d95f,FEM,claude-vscode,HEAD,2.1.85,f:\FEM\OPTUM,2026-03-28T02:36:59.382Z,2026-03-28T06:04:47.483Z
5c208d6b-39ae-483f-bc9c-d20412cbeff1,FEM,claude-vscode,HEAD,2.1.78,f:\FEM\OPTUM,2026-03-18T11:26:28.437Z,2026-03-18T12:08:16.309Z
65737a49-6947-4810-91d1-6ef859f795b3,FEM,claude-vscode,HEAD,2.1.78,f:\FEM\OPTUM,2026-03-20T05:13:18.991Z,2026-03-20T05:24:22.224Z
a05f41a7-1721-48b8-a451-7d6ddf979ef2,FEM,claude-vscode,HEAD,2.1.78,f:\FEM\OPTUM,2026-03-19T00:45:20.867Z,2026-03-19T01:25:06.089Z
acbe3249-8219-4d52-afec-c926d562422e,GITHUB3,claude-vscode,HEAD,2.1.90,f:\GITHUB3\docs\manuscripts\current\ch5_centrifuge_testing_year2,2026-04-02T07:19:46.486Z,2026-04-02T07:25:06.310Z
038c9156-7e5e-4c94-afb2-e63b05705de9,TREE,claude-vscode,master,2.1.90,f:\TREE_OF_THOUGHT,2026-04-03T06:04:01.923Z,2026-04-07T05:01:03.820Z
164847ae-3c22-4fd5-8456-b38e4c1795e4,TREE,claude-vscode,master,2.1.105,f:\TREE_OF_THOUGHT,2026-04-15T09:16:01.048Z,2026-04-15T09:40:21.135Z
1ed7801e-4bd0-4f99-8cbb-7e60b3eb521c,TREE,claude-vscode,master,2.1.88,f:\TREE_OF_THOUGHT,2026-03-31T02:31:09.476Z,2026-03-31T03:33:34.401Z
37653c7d-a068-4d3a-9ec7-0e0394d26373,TREE,claude-vscode,master,2.1.109,f:\TREE_OF_THOUGHT,2026-04-17T09:52:38.146Z,2026-04-17T09:53:20.208Z
4ef87528-72ae-4ea2-8d89-0466ad7a07cb,TREE,claude-vscode,master,2.1.105,f:\TREE_OF_THOUGHT,2026-04-15T07:31:35.551Z,2026-04-15T09:43:46.526Z
50864b80-5a88-49dc-be18-e47a500275e2,TREE,claude-vscode,master,2.1.105,f:\TREE_OF_THOUGHT,2026-04-15T04:27:11.525Z,2026-04-15T04:52:46.017Z
51d961b8-1991-487d-9369-f44c2d88e17a,TREE,claude-vscode,master,2.1.105,f:\TREE_OF_THOUGHT,2026-04-15T03:47:34.789Z,2026-04-15T09:00:54.115Z
63915fbf-ea5d-4ddd-a6c4-fe4a973e911e,TREE,claude-vscode,master,2.1.90,f:\TREE_OF_THOUGHT,2026-04-07T04:34:17.387Z,2026-04-11T05:34:01.871Z
646fe4a4-987f-4297-9cb7-b95f6a447e23,TREE,claude-vscode,master,2.1.109,f:\TREE_OF_THOUGHT,2026-04-16T05:49:29.369Z,2026-04-16T08:06:53.951Z
8cda8629-6ce6-4bb7-a003-4536885cb5af,TREE,claude-vscode,master,2.1.88,f:\TREE_OF_THOUGHT,2026-03-31T03:48:14.690Z,2026-04-02T08:45:52.131Z
8d49f828-8324-4e7b-8285-d5fd1870a556,TREE,claude-vscode,master,2.1.105,f:\TREE_OF_THOUGHT,2026-04-15T06:59:52.908Z,2026-04-15T07:25:00.659Z
90dc55ea-0d04-4c6a-a1d3-384123319b23,TREE,claude-vscode,master,2.1.109,f:\TREE_OF_THOUGHT,2026-04-17T09:53:55.302Z,2026-04-17T10:40:36.512Z
