session_id,date,project,session_type,duration_min,total_tool_calls,commits,additions,deletions,quality_score,output_score,impact_score,focus_score,craft_score,depth_score,prompt_score
818f29eb-1aa3-497f-9c3e-0b5dde0c50b9,2026-03-17,TREE,devops,4565.2,56,2,16,9,53.2,3.6,14.2,15,7.2,11.6,1.6
5c208d6b-39ae-483f-bc9c-d20412cbeff1,2026-03-18,FEM,coding,41.8,11,0,0,0,59.9,25,0,15,7.5,6.9,5.5
0091baab-1691-4945-94d1-02a2ab7691fa,2026-03-19,FEM,mixed,9110.4,1254,139,96077,18328,69.6,8.4,20,6.0,10.2,15,10
a05f41a7-1721-48b8-a451-7d6ddf979ef2,2026-03-19,FEM,research,39.8,32,0,0,0,47.5,12.5,0,13.5,5.1,10.0,6.4
224bd10b-1696-4229-98de-d6def1a50225,2026-03-19,TREE,devops,448.1,25,0,0,0,53.8,6.0,0,13.5,15,9.3,10
65737a49-6947-4810-91d1-6ef859f795b3,2026-03-20,FEM,research,11.1,28,1,6,6,47.7,3.6,8.2,12.0,4.3,9.6,10
6fe47ff7-23ec-4b91-a81b-bf077aedaab1,2026-03-22,TREE,coding,119.7,102,1,1,1,67.5,15.7,5.9,13.5,9.1,13.3,10
1de5d7d6-2673-45b1-a859-dd810408390b,2026-03-25,FEM,coding,41.7,66,11,527,186,79.7,16.7,18.6,13.5,10.8,12.1,8.0
112b6919-d52d-4bb4-82e1-121ead726a08,2026-03-26,FEM,mixed,506.3,222,5,1617,56,63.2,9.9,19.7,9.0,6.9,15,2.7
b52f3db0-1e8a-4470-904e-dd6b34a403e2,2026-03-27,TREE,coding,48.9,26,0,0,0,66.8,25,0,15,12,9.4,5.4
fd96106e-6879-4de5-b7fd-3d4810a99613,2026-03-27,TREE,research,1.4,17,0,0,0,25.2,0.0,0,15,1.2,8.2,0.8
f01eaa1b-9547-4a04-82f1-a6d4ffb14952,2026-03-27,TREE,devops,10.8,20,3,0,0,70.6,15.0,10,15,12,8.6,10
3af0bd3c-a766-40d2-9725-6e6b7534d95f,2026-03-28,FEM,research,207.8,190,10,73,28,66.6,11.3,16.0,9.0,6.5,15,8.8
28c666e9-039b-4de6-b3e4-f5fbc0df9862,2026-03-30,TREE,coding,340.0,236,13,1437,189,82.6,15.5,19.6,7.5,15,15,10
1ed7801e-4bd0-4f99-8cbb-7e60b3eb521c,2026-03-31,TREE,mixed,62.4,54,0,0,0,43.5,6.5,0,7.5,8.0,11.5,10
8cda8629-6ce6-4bb7-a003-4536885cb5af,2026-03-31,TREE,devops,3177.6,1289,0,0,0,46.3,8.3,0,3.0,13.5,15,6.5
d0a45b53-50d4-434d-bf30-c2870f05b5de,2026-03-31,TREE,devops,14.2,20,0,0,0,45.6,10.0,0,15,12,8.6,0.0
080485c1-422b-4475-9f1e-7ec7d016ea40,2026-03-31,TREE,devops,86.8,96,0,0,0,30.9,2.1,0,10.5,5.1,13.2,0.0
10ca50f4-f876-4d92-ab82-16779d05da6b,2026-03-31,TREE,research,18.9,33,0,0,0,38.6,6.1,0,15,1.4,10.1,6.0
acbe3249-8219-4d52-afec-c926d562422e,2026-04-02,GITHUB3,research,5.3,15,0,0,0,28.8,3.3,0,15,0.5,7.8,2.2
7592a438-b3fc-4ea0-95c2-198b62f51d16,2026-04-02,TREE,mixed,1304.7,904,0,0,0,42.4,12.1,0,3,9.0,15,3.3
038c9156-7e5e-4c94-afb2-e63b05705de9,2026-04-03,TREE,mixed,5697.0,276,0,0,0,60.4,14.9,0,9.0,11.5,15,10
ecc34ff0-dc1f-4bdc-9afb-c32ff862f85c,2026-04-03,TREE,coding,129.3,148,0,0,0,66.5,18.9,0,13.5,9.7,14.4,10
c7c2dd21-4daf-4add-a98e-180b7e821591,2026-04-03,TREE,research,21.5,20,0,0,0,43.3,12.5,0,15,1.7,8.6,5.5
f9cfa713-6d8b-4ba7-94b4-b5e4ab990a8e,2026-04-03,TREE,research,752.9,155,0,0,0,53.7,14.2,0,10.5,6.3,14.6,8.1
63915fbf-ea5d-4ddd-a6c4-fe4a973e911e,2026-04-07,TREE,devops,5819.7,2912,21,10012,1639,78.7,14.2,20,4.5,15,15,10
3f0466ae-51cc-499c-9811-0a9fe7f35c95,2026-04-07,TREE,coding,99.4,130,0,0,0,59.1,17.7,0,10.5,12,14.0,4.9
e8c4860f-09c4-4c76-b29d-9c156cc31214,2026-04-07,TREE,mixed,4697.8,88,72,68758,19628,69.8,9.1,20,12.0,9.7,12.9,6.1
e751cc2d-4d52-4090-a9e0-373cac414be6,2026-04-10,TREE,coding,238.1,432,1,37,0,71.3,20.7,9.7,9.0,12.7,15,4.2
608afec7-9b59-4b4b-8f51-2d0c8d31de57,2026-04-10,TREE,coding,16.8,56,0,0,0,63.1,23.2,0,15,6.8,11.6,6.5
603427c4-78eb-417e-a0d2-4c3d2ce26981,2026-04-12,TREE,coding,152.7,197,0,0,0,74.6,24.1,0,10.5,15,15,10
33a37b59-5f7d-47d4-9056-116df35a2cca,2026-04-12,TREE,coding,1140.2,584,0,0,0,60.5,16.9,0,7.5,11.1,15,10
6645be63-c299-4b9c-8a5d-c488eec5f9e8,2026-04-12,TREE,research,9.8,43,0,0,0,51.8,14.0,0,15,1.9,10.9,10
8a192924-b7be-4d2f-b626-3823448ec11f,2026-04-12,TREE,research,0.8,18,0,0,0,30.6,0.0,0,15,0.3,8.3,7.0
a3d5039f-5e32-4718-b2e0-20414b014106,2026-04-12,TREE,coding,9.2,30,0,0,0,57.0,18.3,0,13.5,5.4,9.8,10
31dbe3fe-b5a9-45fe-bf73-59c73b51ac8c,2026-04-12,TREE,coding,10.0,37,0,0,0,60.2,17.6,0,12.0,11.6,10.4,8.6
43b91ee9-d444-4236-b38f-428fe0c9736e,2026-04-12,TREE,devops,0.7,7,0,0,0,25.2,0.0,0,15,0.0,5.6,4.6
40e6a901-1c53-4461-874b-13701352246b,2026-04-12,TREE,coding,4.7,16,0,0,0,55.1,18.8,0,15,3.3,8.0,10
bb99388e-51da-46a4-9b06-7154cba7a009,2026-04-12,TREE,research,6.9,41,0,0,0,52.4,14.6,0,15,2.1,10.7,10
c7c1d89b-5021-41c5-aa48-ee713fea9767,2026-04-12,TREE,research,0.5,18,0,0,0,30.9,0.0,0,15,0.0,8.3,7.6
f0a365f2-5403-489e-8455-70fbffd56f2e,2026-04-12,TREE,coding,8.3,29,0,0,0,59.1,19.0,0,15,5.4,9.7,10
fa502aa0-6287-4887-8365-f49b4e464ce9,2026-04-12,TREE,coding,5.5,21,0,0,0,67.5,25,0,15,15,8.8,3.7
957ea5a9-2c68-4876-b7da-f237a7f73ab5,2026-04-12,TREE,research,0.4,17,0,0,0,28.0,0.0,0,15,0.0,8.2,4.8
e12b788a-e9a4-4461-af57-399a188065f5,2026-04-12,TREE,research,7.5,40,0,0,0,51.6,15.0,0,15,2.1,10.6,8.9
0acc82a0-e3e0-46a0-b3ee-de18bc21e7a4,2026-04-12,TREE,research,0.5,17,0,0,0,30.2,0.0,0,15,0.0,8.2,7.0
bf25e1d4-4aec-4f0a-b584-a8bbdc4e2691,2026-04-12,TREE,coding,5.8,41,0,0,0,53.9,15.9,0,15,2.3,10.7,10
d6563157-92ea-43e1-a055-13388db5395a,2026-04-12,TREE,coding,7.8,30,0,0,0,59.5,20.0,0,13.5,6.2,9.8,10
f792884b-0202-4ba4-9886-cb4919719adb,2026-04-12,TREE,coding,4.0,19,0,0,0,64.2,25,0,15,12,8.5,3.7
fff679af-d6e5-42a2-a8fd-2bf30c5e3447,2026-04-12,TREE,coding,3.7,15,0,0,0,56.6,20.0,0,15,3.8,7.8,10
71d1b2c1-ff9a-45c3-ba13-0c891c240127,2026-04-12,TREE,research,8.7,56,0,0,0,49.5,10.7,0,15,2.2,11.6,10
7f6b60ad-4d2d-41e3-8f55-6e8c67092b3c,2026-04-12,TREE,coding,8.0,27,0,0,0,58.6,20.4,0,15,3.7,9.5,10
c051c7c7-3448-4092-8749-ce22f00102c8,2026-04-12,TREE,research,0.6,18,0,0,0,30.6,0.0,0,15,0.0,8.3,7.3
2c3f9e1b-c545-41d9-b296-4d0a60d9b7d2,2026-04-12,TREE,coding,5.9,28,0,0,0,60.0,19.6,0,15,5.8,9.6,10
4456dc37-5f6c-470f-852a-70474e909840,2026-04-12,TREE,research,6.1,41,0,0,0,52.4,14.6,0,15,2.1,10.7,10
a78b73a4-e578-4110-9cea-8d2bdc9481ff,2026-04-12,TREE,research,0.4,15,0,0,0,29.9,0.0,0,15,0.0,7.8,7.1
be58aef6-0433-40e5-a4f3-41092e1d96bf,2026-04-12,TREE,coding,4.9,34,0,0,0,55.4,22.1,0,15,4.4,10.2,3.7
f195df7e-cf32-494e-b986-beb75d1e5130,2026-04-12,TREE,coding,4.3,15,0,0,0,56.1,20.0,0,15,3.3,7.8,10
6812b62d-efa8-41f0-8bf1-3ad8ed9a74d1,2026-04-12,TREE,coding,5.6,28,0,0,0,68.0,21.4,0,15,12,9.6,10
54ade7be-86cd-4286-b094-900534c2d18e,2026-04-13,TREE,coding,154.8,176,0,0,0,66.8,17.9,0,9.0,15,14.9,10
73073729-167b-4a68-8df0-656954d33307,2026-04-13,TREE,mixed,2.6,4,0,0,0,28.1,0.0,0,15,8.0,4.0,1.1
a7ce8320-06b6-4d94-9eed-8e5a3bdb9431,2026-04-14,TREE,coding,59.5,34,0,0,0,65.8,20.6,0,15,10.0,10.2,10
583c1656-56e4-40d5-a59d-d26052e0a152,2026-04-14,TREE,coding,42.1,36,0,0,0,68.1,20.8,0,15,12,10.3,10
164847ae-3c22-4fd5-8456-b38e4c1795e4,2026-04-15,TREE,research,24.3,68,3,2448,91,65.8,11.8,20,15,2.8,12.2,4.0
4ef87528-72ae-4ea2-8d89-0466ad7a07cb,2026-04-15,TREE,coding,132.2,400,13,8140,348,85.3,23.6,20,12.0,12,15,2.7
50864b80-5a88-49dc-be18-e47a500275e2,2026-04-15,TREE,mixed,25.6,78,0,0,0,52.0,12.2,0,12.0,8.4,12.6,6.8
51d961b8-1991-487d-9369-f44c2d88e17a,2026-04-15,TREE,coding,313.3,359,0,0,0,71.1,19.1,0,12.0,15,15,10
8d49f828-8324-4e7b-8285-d5fd1870a556,2026-04-15,TREE,coding,25.1,65,2,327,31,76.1,19.2,17.7,13.5,8.7,12.0,5.0
1231acfd-2a3c-4ce0-8550-53c10b8ca419,2026-04-15,TREE,coding,216.5,161,3,1601,97,93.2,25,19.7,12.0,15,14.7,6.8
646fe4a4-987f-4297-9cb7-b95f6a447e23,2026-04-16,TREE,coding,137.4,273,4,196,33,74.0,18.7,17.1,9.0,12,15,2.2
c43ad764-d212-4125-be02-0e25af1029f0,2026-04-16,TREE,mixed,1768.7,2077,0,0,0,59.1,13.6,0,6.0,15,15,9.5
37653c7d-a068-4d3a-9ec7-0e0394d26373,2026-04-17,TREE,devops,0.7,3,6,62995,27395,38.4,0.0,20,15,0.0,3.2,0.2
90dc55ea-0d04-4c6a-a1d3-384123319b23,2026-04-17,TREE,devops,46.7,71,0,0,0,36.0,3.5,0,15,2.5,12.3,2.7
aa1d5b3f-5c89-43ab-b709-c21fc4619e39,2026-04-17,TREE,devops,68.7,178,1,0,0,53.1,9.8,5,13.5,6.8,15.0,3.0
dd66ab01-377a-418a-8e10-3f26334ad734,2026-04-17,TREE,coding,166.7,385,0,0,0,60.3,17.7,0,10.5,15,15,2.1
f78ecb9f-f12a-4744-bb1d-e8f1babe2e48,2026-04-17,TREE,mixed,262.3,104,0,0,0,50.5,13.9,0,7.5,15,13.4,0.7
f04bc85d-5b8a-494a-8ce2-7edfb8db8722,2026-04-17,TREE,devops,721.1,1446,0,0,0,42.1,1.5,0,4.5,15,15,6.1
