session_id,tool_count,opener_pattern,unique_tools,most_repeated
0091baab-1691-4945-94d1-02a2ab7691fa,1254,Bash→Read→Read→Read→Agent,11,Bash
112b6919-d52d-4bb4-82e1-121ead726a08,222,Bash→Bash→Bash→Read→Bash,9,Bash
1de5d7d6-2673-45b1-a859-dd810408390b,66,Agent→Agent→Read→Read→Read,6,Bash
3af0bd3c-a766-40d2-9725-6e6b7534d95f,190,Read→Read→Glob→Glob→Read,9,Read
5c208d6b-39ae-483f-bc9c-d20412cbeff1,11,Read→Write→Read→Read→Bash,4,Edit
65737a49-6947-4810-91d1-6ef859f795b3,28,Agent→Read→Read→Grep→Grep,7,Read
a05f41a7-1721-48b8-a451-7d6ddf979ef2,32,Read→Read→Agent→Read→Read,6,Read
acbe3249-8219-4d52-afec-c926d562422e,15,Glob→Glob→Read→Glob→Glob,4,Read
038c9156-7e5e-4c94-afb2-e63b05705de9,276,Agent→Glob→Glob→Read→Agent,9,Bash
164847ae-3c22-4fd5-8456-b38e4c1795e4,68,Bash→Bash→Bash→Glob→Bash,5,Bash
1ed7801e-4bd0-4f99-8cbb-7e60b3eb521c,54,Write→Read→Edit→ToolSearch→ToolSearch,10,Bash
37653c7d-a068-4d3a-9ec7-0e0394d26373,3,Bash→Bash→Bash,1,Bash
4ef87528-72ae-4ea2-8d89-0466ad7a07cb,400,Read→Bash→Bash→Bash→Read,7,Bash
50864b80-5a88-49dc-be18-e47a500275e2,78,Bash→Bash→Read→Read→Bash,7,Bash
51d961b8-1991-487d-9369-f44c2d88e17a,359,Agent→Agent→Agent→Bash→Write,7,Bash
63915fbf-ea5d-4ddd-a6c4-fe4a973e911e,2912,Bash→Bash→Bash→Read→Read,12,Bash
646fe4a4-987f-4297-9cb7-b95f6a447e23,273,Bash→Bash→Read→Read→Bash,9,Bash
8cda8629-6ce6-4bb7-a003-4536885cb5af,1289,Read→Glob→Glob→Read→ToolSearch,13,Bash
8d49f828-8324-4e7b-8285-d5fd1870a556,65,ToolSearch→Bash→Bash→WebFetch→WebFetch,6,Edit
90dc55ea-0d04-4c6a-a1d3-384123319b23,71,Bash→Read→Bash→Bash→Bash,3,Bash
a7ce8320-06b6-4d94-9eed-8e5a3bdb9431,34,Read→Read→Read→Read→Bash,4,Bash
aa1d5b3f-5c89-43ab-b709-c21fc4619e39,178,Bash→Bash→Bash→Bash→Bash,6,Bash
c43ad764-d212-4125-be02-0e25af1029f0,2077,Read→Read→Read→Bash→Bash,11,Bash
dd66ab01-377a-418a-8e10-3f26334ad734,385,Agent→Agent→Agent→Agent→Read,8,Bash
f78ecb9f-f12a-4744-bb1d-e8f1babe2e48,104,Bash→Bash→Bash→Bash→Bash,10,Bash
54ade7be-86cd-4286-b094-900534c2d18e,176,Bash→Read→Read→Read→Read,9,Bash
583c1656-56e4-40d5-a59d-d26052e0a152,36,Bash→Read→Bash→Bash→Bash,4,Bash
